Date,AAPL,GLD,JPM,MSFT,NVDA,SPY
2019-03-25,175381200,7288300,21032300,27067100,525212000,85575200
2019-03-26,199202000,5056100,15987100,26097700,703508000,68125900
2019-03-27,119393600,6595000,12753200,22733400,474372000,72224700
2019-03-28,83121600,11878300,12454100,18334800,480264000,56238500
2019-03-29,94256000,7093900,14523400,25399800,456896000,82186800
2019-04-01,111448000,13560000,17499300,22789100,483824000,77617900
2019-04-02,91062800,4475000,10295400,18142300,440920000,40070400
2019-04-03,93087200,6152200,11499200,22860700,783504000,68243200
2019-04-04,76457200,7508400,11952100,20112800,457376000,48997500
2019-04-05,74106400,5114500,9933700,15826200,481744000,58621700
2019-04-08,103526800,4270800,8056300,15116200,424192000,53566300
2019-04-09,143072800,4648400,9092200,17612000,439972000,66142300
2019-04-10,86781200,6344800,10882300,16477200,444772000,52601500
2019-04-11,83603200,11694500,11183800,14209100,374600000,55093100
2019-04-12,111042800,5272800,25834100,19745100,471708000,69727800
2019-04-15,70146400,4252400,15163800,15792600,440092000,49596700
2019-04-16,102785600,10097800,11583200,14071800,394964000,52153200
2019-04-17,115627200,4693900,17791900,19300900,351004000,58268300
2019-04-18,96783200,4090400,12501900,27991000,380988000,68708500
2019-04-22,77758000,2250900,7975900,15648700,279936000,40160100
2019-04-23,93292000,5574800,9193100,24025500,346856000,52246600
2019-04-24,70162400,4173000,9245700,31257000,318204000,50392900
2019-04-25,74172800,4836900,9311800,38033900,499296000,57770900
2019-04-26,74596400,6022700,7889300,23654900,868988000,50916400
2019-04-29,88818800,4469300,14242200,16324200,391920000,57197700
2019-04-30,186139600,4758600,11389100,24166500,362920000,81111700
2019-05-01,259309200,12331800,10412900,26821700,354280000,71671900
2019-05-02,127985200,6759600,8613300,27350200,394684000,65030200
2019-05-03,83569600,8414400,8185400,24911100,336824000,56543700
2019-05-06,129772400,3479600,9387000,24239800,422176000,107198100
2019-05-07,155054800,4010700,15017700,36017700,555220000,144729900
2019-05-08,105358000,4178800,9575800,28419000,419168000,91568300
2019-05-09,139634400,5015500,12205900,27235800,660248000,103471100
2019-05-10,164834800,4586000,13189000,30915100,569500000,112429300
2019-05-13,229722400,11130900,13783700,33944900,656912000,127290500
2019-05-14,146118800,5556000,10503600,25266300,524880000,77003200
2019-05-15,106178800,10299000,10142000,24722700,502320000,73956400
2019-05-16,132125600,6349400,9672700,30112200,781088000,76749600
2019-05-17,131516400,6589300,9570100,25770500,1022068000,100353000
2019-05-20,154449200,4345800,8518200,23706900,572064000,62877600
2019-05-21,113459200,3845600,7967900,15293300,361848000,46847100
2019-05-22,118994400,3741800,7918900,15396500,325868000,49482500
2019-05-23,146118800,6054600,14558000,23603800,591844000,98733800
2019-05-24,94858800,2324700,8537300,14123400,357584000,55268100
2019-05-28,111792800,4303500,11665500,23128400,428356000,70029400
2019-05-29,113924800,4133200,9966400,22763100,559800000,104972900
2019-05-30,84873600,7757000,10367800,16829600,394300000,62523800
2019-05-31,108174400,15367000,10952800,26646800,389720000,86862800
2019-06-03,161584400,14173600,11680700,37983600,478644000,96428000
2019-06-04,123872000,7997100,12858600,29382600,641836000,77231900
2019-06-05,119093600,7637900,8340500,24926100,511616000,71169700
2019-06-06,90105200,5551800,8726700,21459000,408140000,69430400
2019-06-07,122737600,8145900,10618900,33885600,348856000,74272200
2019-06-10,104883600,5410000,11380600,26477100,402780000,60799100
2019-06-11,107731600,4757800,9847700,23913700,383872000,58641300
2019-06-12,73012800,5756200,9670500,17092500,358892000,47096300
2019-06-13,86698400,5374800,8406900,17200800,308080000,48945200
2019-06-14,75046000,9226100,9077400,17821700,394428000,52324700
2019-06-17,58676400,4763300,8128600,14517800,276040000,39205700
2019-06-18,106204000,10309600,11057300,25934500,581920000,85434800
2019-06-19,84496800,11660600,13126500,23744400,331644000,78674400
2019-06-20,86056000,18636300,13638000,33042600,350168000,116570000
2019-06-21,191202400,15068000,27089500,36727900,434428000,83309500
2019-06-24,72881600,17851800,13039600,20628800,282948000,47582700
2019-06-25,84281200,24772200,18660100,33327400,311868000,82028700
2019-06-26,104270000,12016400,10324600,23657700,584072000,51584900
2019-06-27,83598800,8412800,10906600,16557500,445440000,40355200
2019-06-28,124442400,8077000,21634700,30043000,397668000,59350900
2019-07-01,109012000,13317700,12724500,22613500,709756000,78705600
2019-07-02,67740800,13282100,10174900,15237800,400228000,61504500
2019-07-03,45448000,6351500,6849400,13629300,246636000,40898900
2019-07-05,69062000,11536600,7929400,18141100,396552000,51677300
2019-07-08,101354400,8028900,6917200,16779700,329788000,45841800
2019-07-09,82312000,6633400,8947300,19953100,342860000,41101300
2019-07-10,71588400,13920600,9242300,24204400,452076000,58448500
2019-07-11,80767200,7535100,11595200,22327900,682560000,50826100
2019-07-12,70380800,6309500,10783400,18936800,506392000,40326000
2019-07-15,67789600,4026600,12946600,16651500,289840000,33900000
2019-07-16,67467200,7966000,16945000,22726100,341444000,36650100
2019-07-17,56430000,11288300,13120900,20211000,348204000,36036300
2019-07-18,74162400,18448200,9397200,30381800,442192000,51392600
2019-07-19,83717200,18079200,10402800,48992400,344896000,58678600
2019-07-22,89111600,7570400,9061100,25074900,315940000,43638100
2019-07-23,73420800,9981400,12752200,18034600,428176000,44564500
2019-07-24,59966400,6715200,10011000,20738300,366236000,47213200
2019-07-25,55638400,11708200,10138400,18356900,392700000,55394100
2019-07-26,70475600,6249900,12800400,19037600,274160000,45084100
2019-07-29,86693600,9162400,8500400,16605900,248160000,38126500
2019-07-30,135742800,9458700,7121100,16846500,197772000,45849000
2019-07-31,277125600,18797200,13648000,38598800,359416000,104245200
2019-08-01,216071600,27719800,15664500,40557500,421212000,142646600
2019-08-02,163448400,13753200,11025500,30791600,428348000,116749700
2019-08-05,209572000,17519800,15855300,42749600,589156000,178745400
2019-08-06,143299200,9471200,10203500,32696700,361272000,120711700
2019-08-07,133457600,26671100,17320900,33414500,372560000,140572300
2019-08-08,108038000,13108600,10903300,27496500,309300000,87713900
2019-08-09,98478800,9485900,9980800,23466700,341816000,93730000
2019-08-12,89927600,15264000,9393700,20484300,279200000,65527600
2019-08-13,188874000,29842800,12124700,25154600,351956000,94299800
2019-08-14,146189600,20672900,19491800,32527300,419880000,135622100
2019-08-15,108909600,13467800,13365600,28074400,477200000,99556600
2019-08-16,110481600,11728800,11830600,24449100,1007960000,83018300
2019-08-19,97654400,10552700,8265400,24355700,815112000,53571800
2019-08-20,107537200,7478500,8374000,21170800,463188000,51596400
2019-08-21,86141600,8114700,8189300,14970300,427244000,49524700
2019-08-22,89014800,6846500,9343400,18697000,303488000,51666400
2019-08-23,187272000,20282200,14762300,38508600,568056000,149161500
2019-08-26,104174400,12195800,8209500,20312600,318208000,72423800
2019-08-27,103493200,12844100,14331800,23102100,290968000,66668900
2019-08-28,63755200,11452400,10585500,17393300,255612000,59696700
2019-08-29,83962000,14762500,10002200,20168700,357976000,57899400
2019-08-30,84573600,9642200,10170300,23940100,290616000,62901200
2019-09-03,80092000,15615200,9868800,18869300,296140000,69101400
